,상호,휘발유,상표,셀프여부,주소,시
2793,동탄뉴타운주유소,1769,GS칼텍스,N,경기 화성시 경기동로 234,화성시
2794,현대오일뱅크㈜직영 동탄제일주유소,1769,현대오일뱅크,N,경기 화성시 효행로 1279 (반월동),화성시
2795,지에스칼텍스(주)동탄신도시주유소,1769,GS칼텍스,Y,경기 화성시 효행로 1293,화성시
2796,대선에너지(주) 친절한주유소,1769,GS칼텍스,N,경기 화성시 남양읍 주석로 304,화성시
2797,거창에너지,1773,현대오일뱅크,N,경기 화성시 팔탄면 마당바위로 113,화성시
2798,현대오일뱅크(주)직영 능동셀프주유소,1774,현대오일뱅크,Y,경기 화성시 북삼미로 261,화성시
2799,지에스칼텍스㈜동탄2산단주유소,1776,GS칼텍스,Y,경기 화성시 동탄기흥로 161,화성시
2800,수노을주유소,1777,GS칼텍스,Y,경기 화성시 화성로 362,화성시
2801,저녁노을주유소,1778,S-OIL,N,경기 화성시 동탄지성로 388,화성시
2802,한민족주유소,1779,GS칼텍스,Y,경기 화성시 향남읍 푸른들판로 324-6,화성시
2803,민들레셀프주유소,1779,SK에너지,Y,경기 화성시 향남읍 발안만세길 156,화성시
2804,안녕주유소,1779,S-OIL,N,경기도 화성시 만년로 921,화성시
2805,동탄농협주유소,1784,NH-OIL,Y,경기 화성시 삼성1로 196,화성시
2806,신정오일(주)경기점,1785,현대오일뱅크,Y,경기 화성시 양감면 은행나무로 442,화성시
2807,삼미상사(주)동하셀프주유소,1785,SK에너지,Y,경기 화성시 정남면 세자로 257,화성시
2808,(주)충만에너지,1785,SK에너지,N,경기 화성시 양감면 은행나무로 234,화성시
2809,해뜨는주유소,1787,GS칼텍스,N,경기 화성시 경기동로 516,화성시
2810,(주)장안셀프주유소,1787,GS칼텍스,Y,경기 화성시 장안면 포승향남로 2142,화성시
2811,덕우주유소,1787,GS칼텍스,N,경기 화성시 팔탄면 온천로 127,화성시
2812,삼미상사(주) 정남TG셀프주유소,1787,SK에너지,Y,경기 화성시 정남면 세자로 214,화성시
2813,주은에너지,1787,SK에너지,N,경기 화성시 정남면 가장로 319,화성시
2814,안녕그린주유소,1788,SK에너지,Y,경기 화성시 효행로 852 (안녕동),화성시
2815,815GS주유소,1788,GS칼텍스,Y,경기 화성시 정조로 139 (반정동),화성시
2816,연구단지주유소,1789,현대오일뱅크,N,경기 화성시 남양읍 남양로 361,화성시
2817,서신농협주유소,1790,NH-OIL,Y,경기 화성시 서신면 궁평항로 1705,화성시
2818,이화셀프주유소,1793,S-OIL,Y,경기 화성시 비봉면 푸른들판로 1401,화성시
2819,정남주유소,1794,S-OIL,N,경기 화성시 정남면 괘랑1길 1-6,화성시
2820,남양신도시주유소,1795,GS칼텍스,N,경기 화성시 남양읍 화성로 957,화성시
2821,백산주유소,1795,S-OIL,Y,경기 화성시 효행로 606,화성시
2822,(주)일광에너비스 제1주유소,1795,GS칼텍스,N,경기 화성시 효행로 420 (안녕동),화성시
2823,SK대훈주유소,1795,SK에너지,Y,경기 화성시 남양읍 남양로 410,화성시
2824,매송주유소,1795,S-OIL,Y,경기 화성시 매송면 푸른들판로 1937,화성시
2825,산들주유소,1796,S-OIL,Y,경기 화성시 남양읍 시청로 270,화성시
