"행정구역(시군구)별","연령별",2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"행정구역(시군구)별","연령별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국","33세",725701,376087,349614,830608,420130,410478,839693,429065,410628,842467,431245,411222,823872,420480,403392,749557,383439,366118,662636,339803,322833,653494,336035,317459,628407,325841,302566,618482,316270,302212,625794,326349,299445
"전국","34세",783547,394973,388574,725023,375615,349408,830278,419769,410509,839360,428738,410622,842339,430991,411348,823862,420245,403617,749385,383180,366205,662582,339566,323016,653361,335793,317568,628489,325668,302821,617636,315693,301943
"전국","35세",767010,393386,373624,782721,394490,388231,724684,375255,349429,829954,419434,410520,839281,428479,410802,842279,430736,411543,823495,419870,403625,749232,382912,366320,662430,339308,323122,653259,335541,317718,627431,325036,302395
"전국","36세",795534,402495,393039,766119,392859,373260,782219,394041,388178,724311,374906,349405,829802,419181,410621,839113,428206,410907,841840,430341,411499,823253,419550,403703,748919,382586,366333,662309,339061,323248,651979,334799,317180
"전국","37세",864737,443264,421473,794544,401924,392620,765654,392490,373164,781739,393633,388106,724134,374640,349494,829685,418927,410758,838693,427826,410867,841390,429936,411454,822868,419171,403697,748699,382312,366387,660870,338287,322583
"전국","38세",900728,454307,446421,863524,442528,420996,793938,401467,392471,765094,392055,373039,781486,393358,388128,724012,374384,349628,829177,418535,410642,838252,427447,410805,840885,429548,411337,822494,418824,403670,746777,381281,365496
"전국","39세",902323,464312,438011,899437,453510,445927,862797,441970,420827,793298,400954,392344,764876,391766,373110,781183,393012,388171,723499,373960,349539,828655,418101,410554,837692,427021,410671,840358,429135,411223,820317,417701,402616
"전국","40세",950931,487574,463357,900882,463443,437439,898484,452819,445665,862022,441399,420623,792924,400543,392381,764577,391402,373175,780568,392521,388047,722964,373534,349430,828035,417642,410393,837135,426612,410523,837928,427947,409981
"전국","41세",926338,473829,452509,949293,486539,462754,899902,462712,437190,897682,452213,445469,861482,440903,420579,792564,400136,392428,763958,390933,373025,779981,392065,387916,722387,373080,349307,827427,417204,410223,834576,425324,409252
"전국","42세",932738,473203,459535,924633,472754,451879,948188,485714,462474,898901,461923,436978,897141,451693,445448,860953,440352,420601,791817,399584,392233,763284,390432,372852,779215,391547,387668,721752,372627,349125,824976,416010,408966
