,title,link,description
20,신탁등기말소 전세,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=420714432&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=21&search_sort=0&spq=0,... 아마 <b>건물</b>전체를 매매한것으로 보입니다. 중개인으로부터는 말소조건이며... 또한 신탁원부에 대한 설명 <b>신탁사</b> 또는 우선수익자에대한 임대차 동의에... 중개사를 <b>사기</b>죄로 성립이 되나요? 6. 계약금100만원을 임대인의 계좌로... 
21,시행사가 법정관리 신청된 물건 분양 매매,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40201&docId=389400533&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=22&search_sort=0&spq=0,... 문의한바로는) <b>신탁사</b>의 동의가 필요하고 1차적으로 <b>신탁사</b>와 계약후 2차적으로... 궁금합니다 <b>사기</b>?당할 위험성은 없는지요.. 제가 어디에 무엇을 확인해보아야하나요? 그리고 혹시 <b>건물</b>의 관리나 하자보수 부분은 어떻게 되는걸까요... 
22,3년전에 빌려준돈이 1500만원 정도 되는데 2년동안... ,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60211&docId=428346360&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=23&search_sort=0&spq=0,"... ■ 사실관계의 내용으로 보아 <b>사기</b>죄 형사고소는 어려워 보이고... 승소: <b>건물</b>외벽 및 창호 공사대금 미지급 사건을 진행하였고, 상대방의... 가처분: <b>신탁사</b>를 빼돌린 사건에서, 상대방의 부동산이 아닌 소유권이전청구권을... "
23,부동산 전세계약 관련 질문좀드리겠습니다.,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=421946672&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=24&search_sort=0&spq=0,... 입주중인 <b>건물</b>이라 무등기 상태라 설명받았습니다. 심지어... 소유주는 <b>신탁사</b>라 계약한사람이 다르다는 이유였습니다. 그래서... 너 지금 역전세 <b>사기</b> 당한 거라구요. ^^ 매매 2.5억 공시 2.0억 X 150% 전세 3.0억 =&gt; 전세... 
24,위탁자의 계약무효행위/<b>사기</b> 혐의로 고소 가능성 문의,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=365712631&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=25&search_sort=0&spq=0,... 중개사 끼고 계약을 했고 계약 당시 <b>건물</b> 등기부등본 등기사항 갑구에... 특약사항(<b>신탁사</b>와 같은 우선수익자의 존재로 인해 보증금이 100% 보호 받지... 나아가 위탁자 신분을 밝히지 않은 혐의로 <b>사기</b> 등으로 고소 가능한가요?(이 경우... 
25,빌려준돈 돌려받을려면,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=602060402&docId=427009712&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=26&search_sort=0&spq=0,"... 있습니다 <b>사기</b>죄 가능성도 있어보입니다. 빌려준돈은 시기, 액수, 변제기한... 승소: <b>건물</b>외벽 및 창호 공사대금 미지급 사건을 진행하였고, 상대방의... 가처분: <b>신탁사</b>를 빼돌린 사건에서, 상대방의 부동산이 아닌... "
26,<b>사기</b>분양 당하면 어떻게 해야하나요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40203&docId=33239445&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=27&search_sort=0&spq=0,"... <b>신탁사</b>는 분양자를 보호해 줘야 함에도 불구하고, 투자자와 시공사 딴 곳에서 <b>사기</b>치고 돈을 못 받은 두 사람만을 보호할뿐, 정작 <b>건물</b>을 올린 분양자를 보호한다는 구절은 한곳도 없습니다. 시행사는 리콜작업을 4개월동안 했습니다.... "
27,빌려준 돈 신고(개인회생),https://kin.naver.com/qna/detail.naver?d1id=6&dirId=602060402&docId=427087383&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=28&search_sort=0&spq=0,"... <b>사기</b>죄 형사고소를 하여 유죄판결이 나오면, 해당 채권은 개인회생 면책이... 승소: <b>건물</b>외벽 및 창호 공사대금 미지급 사건을 진행하였고, 상대방의... 가처분: <b>신탁사</b>를 빼돌린 사건에서, 상대방의 부동산이 아닌... "
28,빌라 월세 계약하려는데 계약서가 좀 이상하네요 봐주세요,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40204&docId=399205097&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=29&search_sort=0&spq=0,... 물어보니까 &quot;이 <b>건물</b> 자체가 임대인이 경매 받은 물건인데 소유권이 내년에 이전될 예정이라 그전까지는 <b>신탁사</b> 명의로 보증금이 들어가게 되어 있다. 어차피 자기 수중에 잡히는 돈도 아니고 임차인들이 보증금 <b>사기</b>로 불안해할까봐... 
29,친척에게 돈 빌려주고 고소관련(재업로드),https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60206&docId=407868116&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=30&search_sort=0&spq=0,... 부지사고 <b>건물</b> 짓고 파는거)을 하는데 작년 8월에 빌려가고 10개월만 쓰고... 어려워 <b>신탁사</b>로 넘어가서 기존금액도 못받고 도망(매형피셜) 집에도... 알고있습니다 <b>사기</b>죄로 형사고소 가능하다고 답변을 달아주신 변호사님들이... 
