,상호,휘발유,상표,셀프여부,주소,시
2662,동우주유소,1774,SK에너지,Y,경기 부천시 오정구 삼작로 151 (내동),부천시
2663,삼미상사(주)부천제일주유소,1775,SK에너지,N,경기 부천시 오정구 소사로 782 (원종동),부천시
2664,지에스칼텍스(주)부천고속주유소,1775,GS칼텍스,Y,경기 부천시 오정구 신흥로 434 (내동),부천시
2665,SK에너지(주) 삼정주유소,1775,SK에너지,Y,경기 부천시 오정구 중동로 447 (삼정동),부천시
2666,은행나무주유소,1779,SK에너지,Y,경기 부천시 오정구 길주로 571 (여월동),부천시
2667,한도석유(주) 한도주유소,1779,SK에너지,N,경기 부천시 오정구 봉오대로 560,부천시
2668,지에스칼텍스(주)옥길주유소,1781,GS칼텍스,Y,경기 부천시 소사구 옥길로 6,부천시
2669,사계절주유소,1787,SK에너지,Y,경기 부천시 오정구 봉오대로 278 (오정동),부천시
2670,신화주유소,1787,GS칼텍스,N,경기 부천시 오정구 부천로478번길 5 (오정동),부천시
2671,옥길동주유소,1789,현대오일뱅크,Y,경기 부천시 옥길로 143 (옥길동),부천시
2672,지에스칼텍스(주)여월신도시주유소,1790,GS칼텍스,Y,경기 부천시 오정구 여월로 112 (작동),부천시
2673,좋은하루주유소,1798,GS칼텍스,N,경기 부천시 원미구 부흥로 32,부천시
2674,(주)위굴리 부천스마트시티주유소,1799,S-OIL,Y,경기 부천시 양지로 115,부천시
